$Ateles	x10	x22	x36	x42	x43	x44	x54	x57
Ixora.floribunda	0	0	1	0	0	0	0	0
Jacaratia.spinosa	0	0	0	1	0	1	1	0
Karwinskia.calderonii	0	1	1	0	1	0	0	0
Klarobelia.stipitata	0	0	0	0	0	0	0	1
Krugiodendron.ferreum	0	0	1	0	0	0	0	0
Lacmellea.panamensis	0	0	0	1	0	1	0	1
Laetia.procera	0	0	0	1	0	0	0	0
Lasiacis.nigra	0	0	1	0	0	0	0	0
Lauraceae.Msp1	0	0	0	0	0	0	0	1
Licania.arborea	0	0	0	0	1	0	0	0
Licania.hypoleuca	0	0	0	1	0	0	0	0
Licania.sp	0	0	0	0	0	1	0	0
Licaria.sp	0	0	0	1	0	0	0	0
Lonchocarpus.sp	0	0	0	0	0	0	0	1
Luehea.candida	0	0	1	0	0	0	0	0
Luehea.speciosa	0	0	1	0	0	0	0	0
Lysiloma.divaricatum	0	0	1	0	0	0	0	0
Maclura.tinctoria	0	1	1	0	0	0	0	0
Mangifera.indica	0	0	0	0	0	0	1	1
Manilkara.chicle	1	1	1	0	1	0	0	0
Maquira.guianensis.subsp..costaricana	0	0	0	0	0	0	1	0
Marcgravia.pittieri	0	0	0	0	0	0	1	0
Marcgravia.schippii	0	0	0	0	0	0	0	1
Maripa.nicaraguensis	0	0	0	1	0	0	1	0
Marsdenia.engleriana	0	1	1	0	0	0	0	0
Maytenus.guyanensis	0	0	0	0	0	0	1	0
Miconia.argentea	0	0	0	0	0	0	1	1
Micropholis.melinoniana	0	0	0	1	0	0	0	0
Minquartia.guianensis	0	0	0	0	0	0	0	1
Monstera.sp2	0	0	0	0	0	0	1	0
Moquilea.platypus	0	0	0	0	0	0	1	0
Moraceae.Msp1	0	0	0	1	0	0	0	1
Moraceae.Msp2	0	0	0	1	0	0	0	0
Moraceae.Msp3	0	0	0	1	0	0	0	0
Moraceae.Msp4	0	0	0	1	0	0	0	0
Mortoniodendron.anisophyllum	0	0	0	1	0	1	1	0
Mouriri.gleasoniana	0	0	0	0	0	0	0	1
Mouriri.myrtilloides	0	0	1	0	0	0	0	0
Msp.X.RC	0	0	0	1	0	0	0	0
Msp1.Melastomataceae	0	0	0	0	0	0	0	1
Msp1.Menispermaceae	0	0	0	0	0	0	0	1
Msp12.RC	0	0	0	0	0	1	0	0
Msp13.RC	0	0	0	1	0	0	0	0
Msp16.RC	0	0	0	1	0	0	0	0
Msp17.RC	0	0	0	1	0	0	0	0
Msp2.Melasto.vine	0	0	0	1	0	0	0	0
Msp4.Melastomataceae	0	0	0	1	0	0	0	0
Msp4.RC	0	0	0	1	0	0	0	0
Msp40.plant	0	0	0	0	0	1	0	0
Muntingia.calabura	1	0	1	0	0	0	0	0
Musa.acuminata	0	0	1	0	0	0	0	0
Naucleopsis.ulei	0	0	0	1	0	0	0	0
Nectandra.hihua	0	0	0	1	0	0	0	0
Neea.sp	0	0	0	0	0	0	1	0
Ochroma.pyramidale	0	0	0	0	0	0	1	1
Ocotea.insularis	0	0	0	0	0	0	1	0
Ocotea.sp1	0	0	0	0	0	0	0	1
