$Cebus	x6	x7	x8	x11	x12	x17	x20	x23	x29	x33	x35	x36	x39	x40	x55
Mouriri.myrtilloides	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Msp.Lasia	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Muntingia.calabura	1	1	1	1	1	0	0	0	0	0	1	1	0	0	1
Musa.acuminata	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
Ocotea.veraguensis	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
Pachira.fendleri	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Passiflora.platyloba	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1
Passiflora.vitifolia	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Paullinia.pinnata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Phoradendron.dipterum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Phoradendron.quadrangulare	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Piper.tuberculatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Pisonia.macranthocarpa	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Pithecellobium.oblongum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Pleodendron.costaricense	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Polystemma.guatemalense	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Prestonia.riverae	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Prockia.crucis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pseudobombax.septenatum	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Psidium.guajava	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Quercus.oleoides	1	1	0	1	0	0	0	0	0	0	1	1	1	0	0
Randia.echinocarpa	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
Randia.monantha	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
Randia.thurberi	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
Rauvolfia.tetraphylla	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Rehdera.trinervis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Samanea.saman	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Sapium.glandulosum	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Sapium.macrocarpum	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Sapranthus.palanga	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Sebastiania.pavoniana	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Selenicereus.costaricensis	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Semialarium.mexicanum	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Sida.dregei	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Sideroxylon.capiri	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Simarouba.amara	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0
Simarouba.glauca	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Sloanea.terniflora	1	1	1	1	0	0	0	0	1	0	1	1	1	0	0
Solanum.candidum	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Solanum.hazenii	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Solanum.sp3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Solenandra.mexicana	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Spondias.mombin	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
Spondias.purpurea	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1
Spondias.radlkoferi	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Sterculia.apetala	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0
Streptochaeta.spicata	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Styrax.argenteus	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Swartzia.cubensis	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Swietenia.macrophylla	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Syngonium.angustatum	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Tabebuia.ochracea	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Tabernaemontana.glabra	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1
Tanaecium.tetragonolobum	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Theobroma.cacao	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Trema.micrantha	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Trichilia.americana	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
Trichilia.glabra	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Trichilia.havanensis	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Trichilia.martiana	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
Trichilia.trifolia	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
Trophis.racemosa	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Vachellia.collinsii	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1
Vachellia.cornigera	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Varronia.guanacastensis	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
vine.Msp2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
vine.Msp6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
vine.Msp7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
vine.Msp8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Ximenia.americana	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
Xylosma.flexuosa	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Zanthoxylum.setulosum	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
