Center Longitude dec,Map Projection,Comments,NE Corner Long dec,Begin Date,Agency,Entity ID,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Sensor,Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,End Date,Platform,Display ID
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-06-08 00:00:00-05,USGS EROS,EVUSS20210608202106146,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-06-14 00:00:00-05,SUOMI NPP,EVUSS20210608202106146,EVUSS20210608202106146
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-06-15 00:00:00-05,USGS EROS,EVUSS20210615202106216,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-06-21 00:00:00-05,SUOMI NPP,EVUSS20210615202106216,EVUSS20210615202106216
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-06-15 00:00:00-05,USGS EROS,EVUSS20210615202106286,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-06-28 00:00:00-05,SUOMI NPP,EVUSS20210615202106286,EVUSS20210615202106286
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-06-22 00:00:00-05,USGS EROS,EVUSS20210622202106286,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-06-28 00:00:00-05,SUOMI NPP,EVUSS20210622202106286,EVUSS20210622202106286
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-06-29 00:00:00-05,USGS EROS,EVUSS20210629202107056,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-07-05 00:00:00-05,SUOMI NPP,EVUSS20210629202107056,EVUSS20210629202107056
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-06-29 00:00:00-05,USGS EROS,EVUSS20210629202107126,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-07-12 00:00:00-05,SUOMI NPP,EVUSS20210629202107126,EVUSS20210629202107126
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-07-06 00:00:00-05,USGS EROS,EVUSS20210706202107126,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-07-12 00:00:00-05,SUOMI NPP,EVUSS20210706202107126,EVUSS20210706202107126
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-07-13 00:00:00-05,USGS EROS,EVUSS20210713202107196,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-07-19 00:00:00-05,SUOMI NPP,EVUSS20210713202107196,EVUSS20210713202107196
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-07-13 00:00:00-05,USGS EROS,EVUSS20210713202107266,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-07-26 00:00:00-05,SUOMI NPP,EVUSS20210713202107266,EVUSS20210713202107266
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-07-20 00:00:00-05,USGS EROS,EVUSS20210720202107266,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-07-26 00:00:00-05,SUOMI NPP,EVUSS20210720202107266,EVUSS20210720202107266
